path,label_path,hazard_score,label,split
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_ghszTIB_30r2j25DygmsyA_heading_166_pitch_-1_png.rf.ca0f1cd76ff042ecba6b09a1adfa7ea3.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_57M3nK5dX0-vqUilwRbxiQ_heading_243_pitch_-3_png.rf.706d7898aa73b2fcb1fa69d26e2d053f.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_kAlXvE9mOvSxura0CD53bA_heading_264_pitch_-4_png.rf.70f2fa86e671d6d293d20aea44cec1d4.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_5ndxipXzzKKUxMY9gXVnhQ_heading_182_pitch_0_png.rf.1740d1f569c4e8ff74f9ce0b82ea476f.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_Cs4Cl90g9i0BHF0oHp-RVA_heading_220_pitch_0_png.rf.32859f3fe78e47018fbc8565dfc095d5.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_6j9U48Iw8eX01rDzBVlW5Q_heading_11_pitch_4_png.rf.a21e07db6b42110782a21c866c3de436.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_5ndxipXzzKKUxMY9gXVnhQ_heading_182_pitch_0_png.rf.0218dde5491524cbb7fc6bb690359d18.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_6KsurRPYgrFpcyhzReQBOw_heading_298_pitch_1_png.rf.065d22543579c51b6c50675e7fded389.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_8PpgF4lSUE_gqcs5ZxlSzw_heading_188_pitch_-6_png.rf.5ee0b4d77a9b818110a1150ae6dc5863.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_6gRksJ6x_vxMQBrvWqrHxw_heading_141_pitch_0_png.rf.b71622cc53a452f6f13e141b0f7b1cfd.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_fFXt0MTRMRbmzUDy5anJUg_heading_153_pitch_2_png.rf.ef40691c016d4c3f0bcb6238641b8d39.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_7uGKPB3YPBIzf2c05Dsrag_heading_208_pitch_2_png.rf.14663fe4c113e6f0d772b057454bfdc4.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_Ds3NCACMDStAU_eGDLf7lg_heading_349_pitch_-3_png.rf.63027ddd0e43c11072693183cdc53062.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_2lhGMndMRu-OfrymIXCT1Q_heading_138_pitch_-5_png.rf.722ffe3e302bade274af42f076a35886.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.446817,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_g40dIhJnEl2BxPoGcRf_oA_heading_235_pitch_2_png.rf.aeb21ae2b5553dd5bbddf7f48c24c23d.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_-vols2BI2SdsjT4dvOZmzA_heading_198_pitch_-3_png.rf.ce61489658307bf1ed9a646cb32bf343.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_5EeLA7qYLGlNL93zkBIY6w_heading_238_pitch_-1_png.rf.3820a8524aadb55b9f6a85cb6183452c.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_AnMXPYMEMBLmhVcbdKgsQA_heading_313_pitch_-1_png.rf.9887815a4d5243fbc98799b3b0bc653a.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_8p6SgxoVlS-NRPOJfHopMw_heading_220_pitch_-6_png.rf.e4dc7097a902af3aef1751b0150ae9d8.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000252,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_CM7uCXGh__DLM2KGxDL37Q_heading_62_pitch_-1_png.rf.95a41c1e5af0b748db67127e5811a00c.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_6pyRj-KTCTX68cEJL6VjjQ_heading_127_pitch_-2_png.rf.57f04bcb4ab719fc3fa3f45d68305d66.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_3V7CLUqU7Gv9j3pGavE1tg_heading_2_pitch_-9_png.rf.3e02374b3973eeedb5284c78ebfa49d1.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_b1KfUn2MfXSEejyFrU3odg_heading_16_pitch_-1_png.rf.60734e9d5966f32dfe4527aa2400760b.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_CBNldIiHV-8rhMj5ynRg0g_heading_114_pitch_-4_png.rf.73b288df7043abba3eb152623e7c963d.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_h_Voeh-B3-AAQl6TZ9LvlA_heading_204_pitch_0_png.rf.7b6b4547a1db818ac8bed0310ebf6048.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_-hnSGFVSJ_nfq0wK-SCBDA_heading_244_pitch_0_png.rf.4015632b91ae53b44ff052d764af5319.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_4RoNJSknTMvx_WS57QRrVg_heading_41_pitch_2_png.rf.668efb474c5c567a46f6cd04cec851f0.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.004694,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_4EnXCXFiXQTgjnQJE_xWEQ_heading_65_pitch_-4_png.rf.9ff8775103092fe13e06a225d096c136.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_6lugJD-ccxOa0Kw5nmtN8g_heading_327_pitch_-4_png.rf.a6cfe5d31d05c35ae3a0afc6953170d3.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_2WqBbcVcKHtyjle7W9RlHw_heading_301_pitch_0_png.rf.f873adb820e84627aa185246d6e4ed37.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.087391,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_92JqxOqnNhyZVErVdjtJNQ_heading_280_pitch_-3_png.rf.13c51bcd2e433961629de3d4ea6b9750.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_8xB77_z-YvpiKlWJVjomAQ_heading_22_pitch_-2_png.rf.cda93ee91c64be8113285aa89beecb57.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_GxW3eCd_HcXIliXieJoI9w_heading_162_pitch_-3_png.rf.531b54deae87d3f7e66ebeda181b302c.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_IV1jizBl9vYT1MxpeiJU8Q_heading_197_pitch_-5_png.rf.b3baa384ecf3c6765f204565aa555e9c.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_7nn73v5a9Lzm03sGRpTAuA_heading_208_pitch_-4_png.rf.017f80de58ab58d4eaeac77965ac04fb.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_IV1jizBl9vYT1MxpeiJU8Q_heading_197_pitch_-5_png.rf.ca9f4f496b0389827a6addadf28b3323.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_k-BmICfAm3f9G12yrGVsTw_heading_324_pitch_-1_png.rf.29742340c8af099e8402ae2271043a96.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_8pYMn60EIo03hnx9WhUnRw_heading_169_pitch_0_png.rf.ececbd1cd82d943d8781bf8b7226f374.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.007384,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_17yNK9E4nl4JS2A3cW_mag_heading_353_pitch_-4_png.rf.28120b53f70e27183a08206ec924ba7e.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.383680,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_3rrI8bck8D8faA7Dq6HIbQ_heading_78_pitch_3_png.rf.df8b7578dff0b9e8b1a413c44e21eada.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_7nCC8W51St4JFCzQHa0wcA_heading_118_pitch_-3_png.rf.d04edf23cdcb9f5bc6a1d10ce8b5153f.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_130C9vhxYhWR37Y6oxzK0Q_heading_73_pitch_6_png.rf.cdf1097f5ae180c633e39df992a3b9c3.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_8LFYXfCh0iqajPTgDIg2OQ_heading_300_pitch_4_png.rf.f70cd9d097287a0114be679bdeb852f6.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_93piF7o4ltXBJObwlz5Xmg_heading_269_pitch_-1_png.rf.287c46645444c8d46b31a5cc59c1f440.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_5scDM-AqPZj156Bft9Ib-A_heading_268_pitch_-1_png.rf.ff9f5c9b8e3e5dcbf15f5008c55dda01.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_8WX-RlAcjk97CDpQmyD03g_heading_178_pitch_-1_png.rf.2f8b8cdee439eb6bfe0b8bf98b4f4bda.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_JwhnrPRaRn1NuTyKyK1jwQ_heading_168_pitch_-2_png.rf.5b1ff3f8ffcdf6d3efd0960ec79e3147.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_bgek-8qeRu7DdbKWTgi6vQ_heading_138_pitch_0_png.rf.8d5a9794d0234ba2a520661f17fcef42.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_eqSPb9rU8ei0MArKbzCwZg_heading_245_pitch_5_png.rf.ec36ba0c7dcffb1140b18d92070a8eb7.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_Eamo-i8OyQXTvEamY43YEw_heading_41_pitch_-1_png.rf.604b7df66776bdac5e955ed2ff8fd1eb.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.638234,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_5VZ4blExC70gafZw59WBgQ_heading_306_pitch_1_png.rf.0c30a9207c3d3fa38e05a10824d47e51.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_jRFn1cv-2KjmNG5tTcVBDA_heading_236_pitch_0_png.rf.47a38cb8ffdee1816dc1f909786132be.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_FtlKR7fd-h1CtlB3AyO00Q_heading_322_pitch_2_png.rf.79da2ddbbf1a61b9b93c6c947f32af63.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_5DomcTHJiCjMF-BV7pCa1A_heading_64_pitch_3_png.rf.c052eb5362a2eb59aaeff13e7997dfaf.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_HjhPeZVYafnu3g1rpSnVPA_heading_60_pitch_-2_png.rf.e2ba68a6df092a951b751a38e162d5d8.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_5EeLA7qYLGlNL93zkBIY6w_heading_238_pitch_-1_png.rf.cab0ed07b96288906cb98376a1186d53.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_6CNdsHa7NJRJnPsf_u4TKw_heading_60_pitch_0_png.rf.bfefc665cf7f36505bb63b56d17f45d7.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_IV1jizBl9vYT1MxpeiJU8Q_heading_197_pitch_-5_png.rf.31bbbc02ac3fe756a353a724c7c75f7f.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_4InVtr19MOtThvi9MhJFUQ_heading_53_pitch_1_png.rf.c123253d112e44d95a56aac3b9609882.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_0jisp5gbzcZGyi0beFugIg_heading_312_pitch_-1_png.rf.0f312b954e19a6de55079d7694aefe4d.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_6adi33EloU5bnOxrT9681w_heading_117_pitch_-3_png.rf.31900ff62c9d8f3e98eb4c1a3d9f01c4.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_6aawYb_dryGpfIEmHj8G3w_heading_133_pitch_-3_png.rf.e1e46a6984bf7236ac9680512b6c23e1.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_8CNrbeCH8wCW-1abFsLm-g_heading_30_pitch_1_png.rf.08e3a661f6135177e748973df8f63f4b.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_g40dIhJnEl2BxPoGcRf_oA_heading_52_pitch_2_png.rf.0389e8491d3eec57919c0b318e50db5f.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_84Wf2dZgLnNH1Y968RQwZw_heading_253_pitch_-1_png.rf.3d013ae4c33ae4bf8c1da3521c53e8f8.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_6j9U48Iw8eX01rDzBVlW5Q_heading_11_pitch_4_png.rf.53bcd2cb5877ac9502284f15de059412.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_7Lg_V4_dS5uc3PQhbgVrfw_heading_15_pitch_0_png.rf.b02dde044b29c6545d875527ab143b51.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.793959,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_6KsurRPYgrFpcyhzReQBOw_heading_298_pitch_1_png.rf.c846270aef3ce3c273f9217276c3378d.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_17yNK9E4nl4JS2A3cW_mag_heading_221_pitch_-4_png.rf.798ea75555738abe10b5b4fcf511fd7b.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_5NYacsbnIKwYxODozHRD0g_heading_342_pitch_2_png.rf.432455d978d85c93735f579350f9ad8f.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_8p6SgxoVlS-NRPOJfHopMw_heading_220_pitch_-6_png.rf.47f4cde519c2eed5233aef2ade5d2189.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000021,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_ghszTIB_30r2j25DygmsyA_heading_166_pitch_-1_png.rf.678eeb569e52775acfe5f0ed9676c5ea.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_8nw5o9zbYkh1oumd9hInUw_heading_0_pitch_0_png.rf.49aad82c36ff08fcd8efb1b6442c93a4.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_i0Vo4NqCo4nCDAaCE1fAPw_heading_211_pitch_0_png.rf.59b4c0e5aea07efa563313a5373bcaa3.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_8CVIxGcDPo5gpReCt89b0A_heading_21_pitch_-5_png.rf.a92fc07074360a0ca16a4b97fb221473.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
